"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","gift_wrapping_available","price","special_price","weight","msrp","gift_wrapping_price","visibility","magesms_optout","tax_class_id","status","is_recurring","description","short_description","meta_keyword","custom_layout_update","news_from_date","news_to_date","special_from_date","special_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","website","_media_image","_media_lable","_media_position","_media_is_disabled","custom_design"
"admin","base","Default","simple","2,4,10,45","sscribagsgb140","0","SG Ezeepak Kit Bag","","","","","","6","6.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","1199.0000","1044.0000","505.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br><h1><b>SG Ezeepak Kit Bag</b> (Assorted, Backpack)</h1><br><br> A dedicated sportsperson always keeps his equipment safe from damage and deformation by storing stuff in a quality bag. This SG Ezeepak Kit Bag has been designed for those cricket enthusiasts who love to spend their free time playing the sport.<br><br> <b>Heavy duty nylon material</b><br><br> Made of heavy duty nylon material, this bag is durable and highly resilient to common damages.<br><br> <b>Contemporary design</b><br><br> With a contemporary design, this bag is not only convenient to carry around but also looks stylish.<br><br> <b>Foam padded adjustable shoulder straps</b><br><br> With foam padded adjustable shoulder straps, this bag is easy to carry around.<br><br> <b>External bat pocket</b><br><br> The external bat pocket is where you can keep your bat and access it without having to open the bag.<br><br> <b>One mesh pocket</b><br><br> Your accessories and small titbits can be placed in the mesh pocket of this kit bag.<br><br> <b>Additional clip for helmet</b><br><br> For your helmet, this bag has an additional clip, thus making it easy for you to separate your other equipment from the helmet.<br><br>","","","No","2015-09-17 00:00:05","2019-09-14 00:00:05","2015-09-18 00:00:05","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG Ezeepak Kit Bag","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscribagsgb141","0","Sg Comfipak Cricket Bag","","","","","","7","7.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","1049.0000","913.0000","506.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>A dedicated sportsperson always keeps his equipment safe from damage and deformation by storing stuff in a quality bag. This SG Comfipak Kit Bag has been designed for those cricket enthusiasts who love to spend their free time playing the sport.<br><br> <b>Heavy duty nylon material</b><br><br> Made of heavy duty nylon material, this bag is durable and highly resilient to common damages.<br><br> <b>Contemporary design</b><br><br> With a contemporary design, this bag is not only convenient to carry around but also looks stylish.<br><br> Foam padded adjustable shoulder straps<br><br> With foam padded adjustable shoulder straps, this bag is easy to carry around.<br><br>","","","No","2015-09-17 00:00:06","2019-09-14 00:00:06","2015-09-18 00:00:06","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","Sg Comfipak Cricket Bag","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscribagsgb142","0","SG Airpak Cricket Bag, 21X15x5","","","","","","8","8.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","899.0000","783.0000","507.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>Made from premium materials<br><br> Heavy duty adjustable tapes<br><br> Soft padded grip for easy lifting<br><br> U shaped opening for stress free packing<br><br>","","","No","2015-09-17 00:00:07","2019-09-14 00:00:07","2015-09-18 00:00:07","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG Airpak Cricket Bag, 21X15x5","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscribagsgb143","0","SG Superpak Kit Bag, 34X11x11","","","","","","9","9.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","869.0000","757.0000","508.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>CRICKET KIT BAG / BRAND : SG / MODEL : SUPERPAK / COLOUR : Blue & Red (SUBJECT TO AVAILABILITY)","","","No","2015-09-17 00:00:08","2019-09-14 00:00:08","2015-09-18 00:00:08","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG Superpak Kit Bag, 34X11x11","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscribagsgb144","0","SG Dufflepak Kit Bag, 32X11x11","","","","","","10","10.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","779.0000","678.0000","509.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>Made from heavy duty nylon material<br><br> Foam padded adjustable shoulder straps<br><br> Additional shoe compartment at the base<br><br> One external pocket<br><br>","","","No","2015-09-17 00:00:09","2019-09-14 00:00:09","2015-09-18 00:00:09","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG Dufflepak Kit Bag, 32X11x11","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscribagsgb145","0","SG Carrypak Cricket Bag","","","","","","11","11.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","699.0000","609.0000","510.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>SG is one of the renowned brands who manufacture all accessories and gear for cricket. 1931 was the year when this firm came into existence under the name of Sanspareils Co. After a series of changes they finally came to be known as Sanspareils Greenlands (SG). With millions of fans around the world, their superior quality products are preferRed by legendary cricketers like Sachin Tendulkar, Rahul Dravid and many more.","","","No","2015-09-17 00:00:10","2019-09-14 00:00:10","2015-09-18 00:00:10","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG Carrypak Cricket Bag","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscribagsgb146","0","SG Kitpak Cricket Bag","","","","","","12","12.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","639.0000","556.0000","511.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>Made from heavy duty nylon material<br><br> Foam padded adjustable shoulder straps<br><br> Improved high quality zippers<br><br> Additional mesh pocket<br><br>","","","No","2015-09-17 00:00:11","2019-09-14 00:00:11","2015-09-18 00:00:11","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG Kitpak Cricket Bag","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscribagsgb147","0","SG Ecopak Cricket Bag","","","","","","13","13.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","549.0000","478.0000","512.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>Heavy duty nylon tapes with extra reinforcement<br><br> Extra durable base sheet<br><br> Contemporary design<br><br>","","","No","2015-09-17 00:00:12","2019-09-14 00:00:12","2015-09-18 00:00:12","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG Ecopak Cricket Bag","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscrishosgb149","0","SG - CRICKET SHOE - PROLITE III - SIZE 6","","","","","","15","15.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","2299.0000","2001.0000","514.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>SG BRAND CRICKET SHOE SIZE : 6 COLOUR : Black/SILVER New shoe that combines natural running feel with great looks / Toe made from high-tech abrasion-resistant materials / Premium Rubber out-sole for maximum traction / Full-grain PU upper for soft comfort / Moulded EVA in-sock for optimum comfort / Moulded heel counter for extra stability / Stability claws for quick cuts and fast footwork when moving laterally.<br><br>","","","No","2015-09-17 00:00:14","2019-09-14 00:00:14","2015-09-18 00:00:14","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG - CRICKET SHOE - PROLITE III - SIZE 6","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscrishosgb150","0","SG - CRICKET SHOE - STEADLER III - Red/White - SIZE 10","","","","","","16","16.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","2299.0000","1839.0000","515.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>SG BRAND CRICKET SHOE SIZE : 10 COLOUR : Red/White (REF PICTURE ON DISPLAY) New improved style and look with eye catching Colours / Premium rubber out-sole for maximum traction / HP PU/Mesh upper for comfort feel / Moulded EVA in-sock for optimum comfort / Moulded heel counter for extra stability / Stability claws for quick cuts and fast footwork when moving laterally.<br><br>","","","No","2015-09-17 00:00:15","2019-09-14 00:00:15","2015-09-18 00:00:15","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG - CRICKET SHOE - STEADLER III - Red/White - SIZE 10","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscrishosgb151","0","SG - CRICKET SHOE - STEADLER III MODEL - Red/White - SIZE 8","","","","","","17","17.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","2299.0000","1839.0000","516.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>SG BRAND CRICKET SHOE / SIZE : 8 / COLOUR : Red/White (REF PICTURE ON DISPLAY) / New improved style and look with eye catching Colours / Premium rubber out-sole for maximum traction / HP PU/Mesh upper for comfort feel / Moulded EVA in-sock for optimum comfort / Moulded heel counter for extra stability / Stability claws for quick cuts and fast footwork when moving laterally.<br><br>","","","No","2015-09-17 00:00:16","2019-09-14 00:00:16","2015-09-18 00:00:16","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG - CRICKET SHOE - STEADLER III MODEL - Red/White - SIZE 8","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscrishosgb152","0","SG - CRICKET SHOE - STEADLER III - Blue/White - SIZE 9","","","","","","18","18.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","2299.0000","2175.0000","517.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>SG BRAND CRICKET SHOE SIZE : 9 COLOUR : Blue/White (REF PICTURE ON DISPLAY) New improved style and look with eye catching Colours / Premium rubber out-sole for maximum traction / HP PU/Mesh upper for comfort feel / Moulded EVA in-sock for optimum comfort / Moulded heel counter for extra stability / Stability claws for quick cuts and fast footwork when moving laterally.<br><br>","","","No","2015-09-17 00:00:17","2019-09-14 00:00:17","2015-09-18 00:00:17","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG - CRICKET SHOE - STEADLER III - Blue/White - SIZE 9","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscrishosgb153","0","SG - CRICKET SHOE - HISCORE MODEL - SIZE 10","","","","","","19","19.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","1899.0000","1653.0000","518.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>SG BRAND CRICKET SHOES / SIZE : 10 / COLOUR : SUBJECT TO AVAILABILITY","","","No","2015-09-17 00:00:18","2019-09-14 00:00:18","2015-09-18 00:00:18","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG - CRICKET SHOE - HISCORE MODEL - SIZE 10","0","simple","","","","","","","",""
